average,RootMeanSquaredError,55.673585343317384
average,Bias,1.6114178272710513
average,RelativeBias,1.8475837262573347
average,AbsoluteDifference,15.4149415831847
average,RelativeAbsoluteDifference,1.9012963044484057
average,PenalizedDifference,22.316703461141646
average,RelativePenalizedDifference,1.832150433321732
average,Underestimate,0.2969905408236791
average,Overestimate,0.7030094591763209
pessimistic,RootMeanSquaredError,184.66774285682447
pessimistic,Bias,79.93154827000684
pessimistic,RelativeBias,7.613311379510561
pessimistic,AbsoluteDifference,80.05276880081352
pessimistic,RelativeAbsoluteDifference,7.613581596217862
pessimistic,PenalizedDifference,80.11337906621702
pessimistic,RelativePenalizedDifference,7.234631950900322
pessimistic,Underestimate,0.0006387882442521834
pessimistic,Overestimate,0.9993612117557478
linear,RootMeanSquaredError,49.93713208786855
linear,Bias,1.6114178272697262
linear,RelativeBias,1.7892934751677385
linear,AbsoluteDifference,12.879001979910296
linear,RelativeAbsoluteDifference,1.8376761545099163
linear,PenalizedDifference,18.512794056232185
linear,RelativePenalizedDifference,1.7691656498932569
linear,Underestimate,0.3034755190793273
linear,Overestimate,0.6965244809206728
