stacks-node-follower-blue-8,-33.7654537484,3944.58206355
stacks-node-follower-blue-9,-18.8779095301,5269.37202001
stacks-node-follower-blue-0,-89.8026431718,2454.07595856
stacks-node-follower-blue-1,80.0997802198,4610.70710748
stacks-node-follower-blue-2,-133.26142355,3830.86982496
stacks-node-follower-blue-3,55.4008810573,4676.68194141
stacks-node-follower-blue-4,38.1188687583,5832.45602425
stacks-node-follower-blue-5,-35.2195871761,4893.7824987
stacks-node-follower-blue-6,-481.894065934,8024.4100117
stacks-node-follower-blue-7,-12.3030701754,4545.13185214
stacks-node-follower-blue-18,537.710664336,11319.0695591
stacks-node-follower-blue-19,618.07793345,12317.7187703
stacks-node-follower-blue-12,838.232906925,12847.9816557
stacks-node-follower-blue-13,599.402978537,11676.6437802
stacks-node-follower-blue-10,559.471541156,10586.9985435
stacks-node-follower-blue-11,367.286713287,10530.029026
stacks-node-follower-blue-16,564.276577355,10594.6467309
stacks-node-follower-blue-17,357.687417219,10573.3760406
stacks-node-follower-blue-14,674.777923784,12464.4902512
stacks-node-follower-blue-15,612.250659631,11641.6142979
stacks-node-follower-events-green-0,-46.2866118898,2349.51965403
stacks-node-follower-tokens-0,-87.9376098418,2690.84223926
stacks-node-follower-events-tokens-0,-108.742517606,4272.53162782
stacks-node-follower-green-6,-58.5522098106,4300.70562804
stacks-node-follower-green-7,-4.71665043817,3273.1379931
stacks-node-follower-green-4,15.352479136,4145.42303568
stacks-node-follower-green-5,-96.5043945312,4152.76386727
stacks-node-follower-green-2,9.49389350269,5964.97649288
stacks-node-follower-green-3,148.019089574,5277.85299196
stacks-node-follower-green-0,146.371819961,5183.74468296
stacks-node-follower-green-1,-154.881521209,4844.39438664
stacks-node-follower-events-blue-0,0.0,0.0
stacks-node-follower-green-8,16.5829683698,3889.61419747
stacks-node-follower-green-9,20.2378404669,4132.93577967
